<<<<<<< HEAD
DATE,Rate (White)
=======
DATE,WHITE
>>>>>>> main
8/1/2011,7.9
9/1/2011,7.9
10/1/2011,7.9
11/1/2011,7.7
12/1/2011,7.5
1/1/2012,7.4
2/1/2012,7.4
3/1/2012,7.3
4/1/2012,7.4
5/1/2012,7.4
6/1/2012,7.3
7/1/2012,7.3
8/1/2012,7.2
9/1/2012,7
10/1/2012,6.9
11/1/2012,6.8
12/1/2012,6.9
1/1/2013,7.1
2/1/2013,6.8
3/1/2013,6.7
4/1/2013,6.7
5/1/2013,6.7
6/1/2013,6.6
7/1/2013,6.5
8/1/2013,6.4
9/1/2013,6.3
10/1/2013,6.3
11/1/2013,6.1
12/1/2013,5.9
1/1/2014,5.7
2/1/2014,5.8
3/1/2014,5.8
4/1/2014,5.3
5/1/2014,5.4
6/1/2014,5.3
7/1/2014,5.3
8/1/2014,5.3
9/1/2014,5.1
10/1/2014,4.9
11/1/2014,5
12/1/2014,4.7
1/1/2015,4.9
2/1/2015,4.7
3/1/2015,4.8
4/1/2015,4.7
5/1/2015,4.8
6/1/2015,4.6
7/1/2015,4.5
8/1/2015,4.4
9/1/2015,4.4
10/1/2015,4.4
11/1/2015,4.4
12/1/2015,4.4
1/1/2016,4.2
2/1/2016,4.2
3/1/2016,4.3
4/1/2016,4.4
5/1/2016,4.2
6/1/2016,4.3
7/1/2016,4.2
8/1/2016,4.4
9/1/2016,4.4
10/1/2016,4.4
11/1/2016,4.2
12/1/2016,4.2
1/1/2017,4.2
2/1/2017,4
3/1/2017,3.8
4/1/2017,3.9
5/1/2017,3.7
6/1/2017,3.8
7/1/2017,3.8
8/1/2017,3.9
9/1/2017,3.7
10/1/2017,3.6
11/1/2017,3.7
12/1/2017,3.7
1/1/2018,3.5
2/1/2018,3.6
3/1/2018,3.5
4/1/2018,3.6
5/1/2018,3.5
6/1/2018,3.5
7/1/2018,3.4
8/1/2018,3.5
9/1/2018,3.3
10/1/2018,3.4
11/1/2018,3.4
12/1/2018,3.4
1/1/2019,3.5
2/1/2019,3.2
3/1/2019,3.3
4/1/2019,3.2
5/1/2019,3.3
6/1/2019,3.3
7/1/2019,3.3
8/1/2019,3.5
9/1/2019,3.2
10/1/2019,3.3
11/1/2019,3.2
12/1/2019,3.2
1/1/2020,3.1
2/1/2020,3
3/1/2020,3.9
4/1/2020,14.1
5/1/2020,12.3
6/1/2020,10
7/1/2020,9.2
8/1/2020,7.4
9/1/2020,7
10/1/2020,6
11/1/2020,6
12/1/2020,6.1
1/1/2021,5.7
2/1/2021,5.5
3/1/2021,5.3
4/1/2021,5.3
5/1/2021,5.1
6/1/2021,5.3
7/1/2021,4.8
8/1/2021,4.5
9/1/2021,4.2
10/1/2021,3.9
11/1/2021,3.7
12/1/2021,3.2
1/1/2022,3.4
<<<<<<< HEAD
=======
=======
DATE,LNS14000003
2000-01-01,3.4
2000-02-01,3.6
2000-03-01,3.5
2000-04-01,3.4
2000-05-01,3.5
2000-06-01,3.4
2000-07-01,3.5
2000-08-01,3.6
2000-09-01,3.5
2000-10-01,3.4
2000-11-01,3.5
2000-12-01,3.5
2001-01-01,3.6
2001-02-01,3.7
2001-03-01,3.7
2001-04-01,3.9
2001-05-01,3.8
2001-06-01,4.0
2001-07-01,4.0
2001-08-01,4.3
2001-09-01,4.3
2001-10-01,4.7
2001-11-01,4.9
2001-12-01,5.1
2002-01-01,5.1
2002-02-01,5.0
2002-03-01,5.0
2002-04-01,5.2
2002-05-01,5.1
2002-06-01,5.1
2002-07-01,5.2
2002-08-01,5.1
2002-09-01,5.1
2002-10-01,5.1
2002-11-01,5.1
2002-12-01,5.1
2003-01-01,5.2
2003-02-01,5.1
2003-03-01,5.1
2003-04-01,5.3
2003-05-01,5.4
2003-06-01,5.5
2003-07-01,5.4
2003-08-01,5.4
2003-09-01,5.3
2003-10-01,5.1
2003-11-01,5.2
2003-12-01,5.0
2004-01-01,5.0
2004-02-01,4.9
2004-03-01,5.1
2004-04-01,5.0
2004-05-01,4.9
2004-06-01,5.0
2004-07-01,4.7
2004-08-01,4.7
2004-09-01,4.6
2004-10-01,4.6
2004-11-01,4.6
2004-12-01,4.5
2005-01-01,4.5
2005-02-01,4.6
2005-03-01,4.5
2005-04-01,4.4
2005-05-01,4.4
2005-06-01,4.3
2005-07-01,4.2
2005-08-01,4.2
2005-09-01,4.4
2005-10-01,4.4
2005-11-01,4.3
2005-12-01,4.2
2006-01-01,4.1
2006-02-01,4.1
2006-03-01,4.0
2006-04-01,4.1
2006-05-01,4.1
2006-06-01,4.1
2006-07-01,4.1
2006-08-01,4.1
2006-09-01,3.9
2006-10-01,3.9
2006-11-01,4.0
2006-12-01,3.9
2007-01-01,4.2
2007-02-01,4.1
2007-03-01,3.8
2007-04-01,4.0
2007-05-01,3.9
2007-06-01,4.1
2007-07-01,4.2
2007-08-01,4.2
2007-09-01,4.2
2007-10-01,4.1
2007-11-01,4.2
2007-12-01,4.4
2008-01-01,4.4
2008-02-01,4.4
2008-03-01,4.5
2008-04-01,4.4
2008-05-01,4.8
2008-06-01,5.0
2008-07-01,5.2
2008-08-01,5.4
2008-09-01,5.4
2008-10-01,5.9
2008-11-01,6.2
2008-12-01,6.7
2009-01-01,7.1
2009-02-01,7.6
2009-03-01,8.0
2009-04-01,8.1
2009-05-01,8.5
2009-06-01,8.7
2009-07-01,8.7
2009-08-01,8.9
2009-09-01,8.9
2009-10-01,9.2
2009-11-01,9.2
2009-12-01,9.0
2010-01-01,8.8
2010-02-01,8.9
2010-03-01,8.9
2010-04-01,9.0
2010-05-01,8.7
2010-06-01,8.6
2010-07-01,8.5
2010-08-01,8.6
2010-09-01,8.6
2010-10-01,8.6
2010-11-01,8.9
2010-12-01,8.5
2011-01-01,8.1
2011-02-01,8.1
2011-03-01,8.0
2011-04-01,8.1
2011-05-01,7.9
2011-06-01,8.1
2011-07-01,8.0
2011-08-01,7.9
2011-09-01,7.9
2011-10-01,7.9
2011-11-01,7.7
2011-12-01,7.5
2012-01-01,7.4
2012-02-01,7.4
2012-03-01,7.3
2012-04-01,7.4
2012-05-01,7.4
2012-06-01,7.3
2012-07-01,7.3
2012-08-01,7.2
2012-09-01,7.0
2012-10-01,6.9
2012-11-01,6.8
2012-12-01,6.9
2013-01-01,7.1
2013-02-01,6.8
2013-03-01,6.7
2013-04-01,6.7
2013-05-01,6.7
2013-06-01,6.6
2013-07-01,6.5
2013-08-01,6.4
2013-09-01,6.3
2013-10-01,6.3
2013-11-01,6.1
2013-12-01,5.9
2014-01-01,5.7
2014-02-01,5.8
2014-03-01,5.8
2014-04-01,5.3
2014-05-01,5.4
2014-06-01,5.3
2014-07-01,5.3
2014-08-01,5.3
2014-09-01,5.1
2014-10-01,4.9
2014-11-01,5.0
2014-12-01,4.7
2015-01-01,4.9
2015-02-01,4.7
2015-03-01,4.8
2015-04-01,4.7
2015-05-01,4.8
2015-06-01,4.6
2015-07-01,4.5
2015-08-01,4.4
2015-09-01,4.4
2015-10-01,4.4
2015-11-01,4.4
2015-12-01,4.4
2016-01-01,4.2
2016-02-01,4.2
2016-03-01,4.3
2016-04-01,4.4
2016-05-01,4.2
2016-06-01,4.3
2016-07-01,4.2
2016-08-01,4.4
2016-09-01,4.4
2016-10-01,4.4
2016-11-01,4.2
2016-12-01,4.2
2017-01-01,4.2
2017-02-01,4.0
2017-03-01,3.8
2017-04-01,3.9
2017-05-01,3.7
2017-06-01,3.8
2017-07-01,3.8
2017-08-01,3.9
2017-09-01,3.7
2017-10-01,3.6
2017-11-01,3.7
2017-12-01,3.7
2018-01-01,3.5
2018-02-01,3.6
2018-03-01,3.5
2018-04-01,3.6
2018-05-01,3.5
2018-06-01,3.5
2018-07-01,3.4
2018-08-01,3.5
2018-09-01,3.3
2018-10-01,3.4
2018-11-01,3.4
2018-12-01,3.4
2019-01-01,3.5
2019-02-01,3.2
2019-03-01,3.3
2019-04-01,3.2
2019-05-01,3.3
2019-06-01,3.3
2019-07-01,3.3
2019-08-01,3.5
2019-09-01,3.2
2019-10-01,3.3
2019-11-01,3.2
2019-12-01,3.2
2020-01-01,3.1
2020-02-01,3.0
2020-03-01,3.9
2020-04-01,14.1
2020-05-01,12.3
2020-06-01,10.0
2020-07-01,9.2
2020-08-01,7.4
2020-09-01,7.0
2020-10-01,6.0
2020-11-01,6.0
2020-12-01,6.1
2021-01-01,5.7
2021-02-01,5.5
2021-03-01,5.3
2021-04-01,5.3
2021-05-01,5.1
2021-06-01,5.3
2021-07-01,4.8
2021-08-01,4.5
2021-09-01,4.2
2021-10-01,3.9
2021-11-01,3.7
2021-12-01,3.2
2022-01-01,3.4
>>>>>>> main
